56.675832827	-4.036017696	351.2	
56.675386584	-4.035830381	344.7
56.673561830	-4.036140003	349.1	
56.672692228	-4.037113233	352.8	
56.670815657	-4.039215355	358.1	
56.668930361	-4.041847225	371.3		
56.668213512	-4.044460528	372.3		
56.668285883	-4.045525284	398.6		
56.667841332	-4.046602816	439.2		
56.666161605	-4.047654113	430.7	
56.666146180	-4.048591655	480.0
56.666168256	-4.049980024	510.3
56.665239942	-4.050419186	510.1	
56.664737693	-4.052268594	532.2	
56.665041429	-4.054284208	574.9
56.665423913	-4.055610572	579.4	
56.665532324	-4.057207619	596.4
56.664798780	-4.059452314	641.8	
56.664840481	-4.061004906	665.6	
56.663957859	-4.062751779	688.3	
56.663917849	-4.063810310	672.7	
56.664068207	-4.064226501	721.0	
56.663631737	-4.066160868	716.2	
56.663567899	-4.067299676	741.2	
56.664532546	-4.070085943	784.6	
56.664627143	-4.071151871	814.3	
56.664886310	-4.071778061	812.9
56.665377437	-4.073314563	842.1
56.665633223	-4.075490950	884.1
56.665470679	-4.077154757	893.7
56.665843361	-4.080398394	919.2
56.665708594	-4.083083698	926.5
56.665691360	-4.086795455	939.6	
56.665659231	-4.088711230	970.0	
56.665489120	-4.089476994	956.9	
56.665590773	-4.092787336	984.6	
56.665464842	-4.093596330	972.3	
56.665753008	-4.095162681	989.4	
56.666126128	-4.097019373	994.0	
56.666583500	-4.099207189	1013.4
56.666889507	-4.100138138	1018.4
56.666574742	-4.099193646	1013.0	
56.666129362	-4.097040769	993.9	
56.665744415	-4.095139357	989.1	
56.665468433	-4.093596529	972.6	
56.665589985	-4.092780764	984.6	
56.665487407	-4.089472004	956.8
56.665650932	-4.088723827	969.6	
56.665683963	-4.086754247	939.6	
56.665710092	-4.083047878	926.7	
56.665848831	-4.080339945	918.6	
56.665456450	-4.077145814	893.1	
56.665636215	-4.075419308	862.9	
56.665391094	-4.073303889	841.9	
56.664885003	-4.071748615	813.2	
56.664643168	-4.071160910	815.2	
56.664531892	-4.070071220	784.5
56.663571436	-4.067303133	741.4
56.663619438	-4.066143876	716.0	
56.664075443	-4.064223633	721.3
56.663924350	-4.063797611	672.3
56.663969942	-4.062781813	689.5
56.664840967	-4.060975558	665.1	
56.664815515	-4.059472810	642.7	
56.665543206	-4.057201684	596.2	
56.665447175	-4.055616735	578.8	
56.665031651	-4.054223295	574.1	
56.664748106	-4.052236522	531.7
56.665245919	-4.050383608	510.5	
56.666166261	-4.049937485	511.1	
56.666152465	-4.048591996	479.7	
56.666168345	-4.047626735	429.9
56.667860320	-4.046595685	439.5	
56.668295987	-4.045457285	397.4	
56.668219541	-4.044421685	372.6	
56.668944914	-4.041836588	371.2
56.670828333	-4.039209511	358.0	
56.673560168	-4.036131752	349.1	
56.675383757	-4.035838391	344.7	
56.675826302	-4.036032036	351.1	
